,date,author,text,id
0,Mar 31,Mokieman1969,"Mokieman1969@Mokieman1969·Mar 31Replying to @GeorgeFernando45, @elizaholtman, and 1 moreIt's an attack on a criminal.102",110117526815229505
1,Mar 31,WVPatriot59,"Rita Bartsch@WVPatriot59·Mar 31Replying to @Mokieman1969 and @realDonaldTrumpYou’re not very smart, are you?5118",110117603335820453
2,Mar 31,Mokieman1969,"Mokieman1969@Mokieman1969·Mar 31Replying to @WVPatriot59, @Mokieman1969, and 1 moreSmart enough to not fall for Trumps lies. You stay stupid girl.81",110117645615952933
3,Mar 31,fight4usa,"Patriot Unity @fight4usa·Mar 31Replying to @Mokieman1969, @realDonaldTrump, and 1 more#ScumbagBragg #WitchHunt #Fight4Trump #TakeAmeticaBack #EradicateCommunism454",110117678245722995
4,Mar 31,lisamarie15,"Lisamarie  @lisamarie15·Mar 31Replying to @fight4usa, @Mokieman1969, and 2 moreFat F c k 229",110117771550405911
5,Mar 31,OksanaTrump," OKᔕᗩᑎᗩ Tᖇᑌᗰᑭ Verified Account@OksanaTrump·Mar 31Replying to @lisamarie15, @fight4usa, and 3 more51962",110117973512141009
6,Mar 31,coxburgkid,"coxburgkid@coxburgkid·Mar 31Replying to @OksanaTrump, @fight4usa, and 4 moreHey lady11",110117975321359833
7,Mar 31,OksanaTrump," OKᔕᗩᑎᗩ Tᖇᑌᗰᑭ Verified Account@OksanaTrump·Mar 31Replying to @coxburgkid, @fight4usa, and 5 more11857",110117976207891395
8,Mar 31,Carpenter108,"Carpenter108@Carpenter108·Mar 31Replying to @OksanaTrump, @coxburgkid, and 5 moreGregg Jarrett  he wrote the book on witch-hunt",110120706142137870
9,Mar 31,Tonyking,"Minister Tony King@Tonyking·Mar 31Replying to @OksanaTrump, @fight4usa, and 4 more13",110117987103679206
10,Mar 31,Standing_on_the_WORD,"God’s child@Standing_on_the_WORD·Mar 31Replying to @Tonyking, @fight4usa, and 5 more1",110118002219337342
11,Mar 31,cj200015,"Red Walters@cj200015·Mar 31Replying to @OksanaTrump, @fight4usa, and 4 moreAlready there2",110118052123272296
