,Trumps_posts_id,links
0,109560008237041490,https://truthsocial.com/@realDonaldTrump/posts/109560008237041490
1,108851152750240258,https://truthsocial.com/@realDonaldTrump/posts/108851152750240258
2,108810923690666871,https://truthsocial.com/@realDonaldTrump/posts/108810923690666871
3,109273847701897442,https://truthsocial.com/@realDonaldTrump/posts/109273847701897442
4,109010744472889840,https://truthsocial.com/@realDonaldTrump/posts/109010744472889840
5,109769913166445375,https://truthsocial.com/@realDonaldTrump/posts/109769913166445375
6,108936204457052626,https://truthsocial.com/@realDonaldTrump/posts/108936204457052626
7,110010106887462248,https://truthsocial.com/@realDonaldTrump/posts/110010106887462248
8,109792327055245303,https://truthsocial.com/@realDonaldTrump/posts/109792327055245303
9,109826793391574684,https://truthsocial.com/@realDonaldTrump/posts/109826793391574684
10,109875599951880608,https://truthsocial.com/@realDonaldTrump/posts/109875599951880608
11,109837278706105061,https://truthsocial.com/@realDonaldTrump/posts/109837278706105061
12,109638161420211421,https://truthsocial.com/@realDonaldTrump/posts/109638161420211421
13,109391285301355036,https://truthsocial.com/@realDonaldTrump/posts/109391285301355036
14,108521532911183591,https://truthsocial.com/@realDonaldTrump/posts/108521532911183591
15,109346185795919001,https://truthsocial.com/@realDonaldTrump/posts/109346185795919001
16,108749916238646651,https://truthsocial.com/@realDonaldTrump/posts/108749916238646651
17,110102032941996914,https://truthsocial.com/@realDonaldTrump/posts/110102032941996914
18,108782590592287127,https://truthsocial.com/@realDonaldTrump/posts/108782590592287127
19,109252841516645063,https://truthsocial.com/@realDonaldTrump/posts/109252841516645063
20,109269853202681557,https://truthsocial.com/@realDonaldTrump/posts/109269853202681557
21,108986080451280854,https://truthsocial.com/@realDonaldTrump/posts/108986080451280854
22,109734566711385105,https://truthsocial.com/@realDonaldTrump/posts/109734566711385105
23,109294888144010206,https://truthsocial.com/@realDonaldTrump/posts/109294888144010206
24,109620645245203294,https://truthsocial.com/@realDonaldTrump/posts/109620645245203294
25,109294597759924333,https://truthsocial.com/@realDonaldTrump/posts/109294597759924333
26,109136277636319041,https://truthsocial.com/@realDonaldTrump/posts/109136277636319041
27,108935932556557079,https://truthsocial.com/@realDonaldTrump/posts/108935932556557079
28,109580842369289074,https://truthsocial.com/@realDonaldTrump/posts/109580842369289074
29,108758959769123389,https://truthsocial.com/@realDonaldTrump/posts/108758959769123389
30,109937492711881052,https://truthsocial.com/@realDonaldTrump/posts/109937492711881052
31,109485492903957200,https://truthsocial.com/@realDonaldTrump/posts/109485492903957200
32,109445925841384234,https://truthsocial.com/@realDonaldTrump/posts/109445925841384234
33,109715637831490781,https://truthsocial.com/@realDonaldTrump/posts/109715637831490781
34,109367113810639976,https://truthsocial.com/@realDonaldTrump/posts/109367113810639976
35,108840917563399656,https://truthsocial.com/@realDonaldTrump/posts/108840917563399656
36,108793225503514145,https://truthsocial.com/@realDonaldTrump/posts/108793225503514145
37,110016703578477402,https://truthsocial.com/@realDonaldTrump/posts/110016703578477402
38,109502285264819968,https://truthsocial.com/@realDonaldTrump/posts/109502285264819968
39,108433480870983235,https://truthsocial.com/@realDonaldTrump/posts/108433480870983235
40,109486117339816488,https://truthsocial.com/@realDonaldTrump/posts/109486117339816488
41,108645335300130763,https://truthsocial.com/@realDonaldTrump/posts/108645335300130763
42,109162766983908042,https://truthsocial.com/@realDonaldTrump/posts/109162766983908042
43,110045231517991534,https://truthsocial.com/@realDonaldTrump/posts/110045231517991534
