,date,author,text,id
0,2d,ThePalmist,"ⓉⓗⓔⓅⓐⓛⓜⓘⓢⓣ@ThePalmist·2dReplying to @SimeonPatriot, @dakota__1, and 2 more3266321",110141019547739536
1,2d,TonyCollege,Tony College@TonyCollege·2dReplying to @ThePalmist1674313,110141020856427350
2,2d,TonyCollege,Tony College@TonyCollege·2dReplying to @ThePalmist and @TonyCollege1075346,110141023471394570
3,2d,TonyCollege,Tony College@TonyCollege·2dReplying to @ThePalmist and @TonyCollege958244,110141027372819531
4,2d,YalePhD,"Yale PhD | #IStandWithTrump@YalePhD·2dReplying to @TonyCollege and @ThePalmistSomething’s going down – so what’s all the excitement?ELECTION INTERFERENCE via BOGUS indictment!They clearly want to sow discord and create incitement,but Trump is strong, and they won’t even create a slight dent!I’m noticing that more and more people can see through this!It’s time to take our country back – we already knew this!But there are still some folks who remain totally clueless.Let’s get them all on board so WE can go out and do this!We are strong-we will not fall, & WWG1WGA1561277",110141036345974725
5,2d,YalePhD,"Yale PhD | #IStandWithTrump@YalePhD·2dReplying to @TonyCollege, @ThePalmist, and 1 more1239208",110141037515194969
6,2d,JackieV,"Jackie V @JackieV·2dReplying to @YalePhD, @ThePalmist, and 1 more1184347",110141038716271661
7,2d,JackieV,"Jackie V @JackieV·2dReplying to @YalePhD, @JackieV, and 2 more739252",110141040987426024
8,2d,JackieV,"Jackie V @JackieV·2dReplying to @YalePhD, @JackieV, and 2 more842221",110141042647369492
9,2d,toket,"Patriotic American Alpha Sauce@toket·2dReplying to @austin45reaves, @JackieV, and 3 more1317",110141057058980657
10,2d,OksanaTrump," OKᔕᗩᑎᗩ Tᖇᑌᗰᑭ Verified Account@OksanaTrump·2dReplying to @toket, @austin45reaves, and 4 more23117355",110141061683387613
11,2d,OksanaTrump," OKᔕᗩᑎᗩ Tᖇᑌᗰᑭ Verified Account@OksanaTrump·2dReplying to @toket, @austin45reaves, and 5 more640183",110141062415280873
12,2d,OksanaTrump, OKᔕᗩᑎᗩ Tᖇᑌᗰᑭ Verified Account@OksanaTrump·2dReplying to @OksanaTrump664192,110141063592943106
13,2d,Lara45,𝐿𝒶𝓇𝒶 | #IStandWithTrump@Lara45·2dReplying to @williamjennings and @Lara45524109,110141173336920755
14,2d,Lara45,𝐿𝒶𝓇𝒶 | #IStandWithTrump@Lara45·2dReplying to @williamjennings and @Lara4543599,110141178598433502
15,2d,Lara45,𝐿𝒶𝓇𝒶 | #IStandWithTrump@Lara45·2dReplying to @williamjennings and @Lara45233122,110141180448980651
16,2d,Mandyeananderson,Mandyeananderson@Mandyeananderson·2dReplying to @Lara45 and @williamjenningsWe sure do!!!!!1116,110141228985778178
17,2d,CryHarder,"Cry Harder@CryHarder·2dReplying to @NevaJinks, @Lara45, and 2 moreYou lose.19323",110141277708590995
18,2d,Liltinkerbell,"Liltinkerbell@Liltinkerbell·2dReplying to @CryHarder, @Lara45, and 1 moreTrader - Go Away5219",110141354021130384
19,2d,connies5156,"Patriot5156@connies5156·2dReplying to @Liltinkerbell, @CryHarder, and 2 moreYes!   Blocked and muted him!6",110141543121373669
20,2d,kathybj7,"kbjorn@kathybj7·2dReplying to @Liltinkerbell, @CryHarder, and 2 moreYup Big Rhino9",110141830288595893
21,2d,kathybj7,"kbjorn@kathybj7·2dReplying to @Liltinkerbell, @CryHarder, and 2 moreBig Rhino7",110141876119201061
22,1d,Jasper59,"Jasper59@Jasper59·1dReplying to @Liltinkerbell, @CryHarder, and 2 moreTrader??? Are you are a foreigner that doesn't understand the English language or just uneducated?13",110143269559948080
23,15h,kshad13,"kshad13@kshad13·15hReplying to @Jasper59, @CryHarder, and 3 moreTraitor!",110149620830477456
24,2d,flawedmansavedbyGodsgrace,"Saved by Grace@flawedmansavedbyGodsgrace·2dReplying to @CryHarder, @Lara45, and 3 more#BillBarr is going to look like a pumpkin. #OrangeIsTheNewPolitician 9",110141367709123831
25,2d,KennyStacy,"Kenny Paul Stacy@KennyStacy·2dReplying to @CryHarder, @Lara45, and 2 moreLoser28",110141407166119258
26,1d,PeaceandShalom,"Guns64@PeaceandShalom·1dReplying to @connies5156, @CryHarder, and 3 moreBecause Barr is in bed with the same investment group, and legal team,  as Killary and Camel toe is. Has been way before the 2016 election.  He's never been a patriot.127",110142359664897505
27,1d,jesstertruth,"Jesster searching for truth@jesstertruth·1dReplying to @PeaceandShalom, @connies5156, and 4 moreBarr was great for you guys when he was in trump’s pocket for 2 years. Trump loved him until he was forced to answer questions under oath by the J6 committee. Since Barr knows what perjury is he told the truth about J6 and the election. WINNING!314",110142512877347348
28,1d,connies5156,"Patriot5156@connies5156·1dReplying to @jesstertruth, @connies5156, and 5 moreBarr is a liar and I can’t believe you are a retired Gunnery Sgt! My husband was one!113",110142547993857670
29,1d,jesstertruth,"Jesster searching for truth@jesstertruth·1dReplying to @connies5156, @CryHarder, and 5 moreI’m not but does that mean your husband will believe anything?",110142564579628489
30,1d,connies5156,"Patriot5156@connies5156·1dReplying to @jesstertruth, @connies5156, and 5 moreHe was never in President Trumps pocket and he lied about all the election fraud! He is a traitor!212",110142553031496362
31,1d,jesstertruth,"Jesster searching for truth@jesstertruth·1dReplying to @connies5156, @CryHarder, and 5 moreHilarious.1",110142561815389595
32,1d,clewis6375,"Craig Lewis@clewis6375·1dReplying to @jesstertruth, @connies5156, and 5 moreRead the letter from the PA US AG that he wrote to Barr and was shut down.1",110145109330845039
33,1d,jesstertruth,"Jesster searching for truth@jesstertruth·1dReplying to @clewis6375, @connies5156, and 6 moreBarr did anything trump told him to. Trump, wait for it, actually DID weaponize the DOJ.22",110146839500174050
34,21h,clewis6375,"Craig Lewis@clewis6375·21hReplying to @jesstertruth, @clewis6375, and 6 moreBS.",110148113047433966
