,date,author,text,id
0,3d,JackieV,"Jackie V @JackieV·3dReplying to @fifidavid222, @GloriaAdams, and 1 more41874",110136165775250722
1,3d,GScottLaughlin,"GScott@GScottLaughlin·3dReplying to @JackieV, @fifidavid222, and 3 more#WakeUpPrayUp The Spirit and The Church says, “Come Quickly, Lord Jesus!”#Pray15 #Mark16v15 #JesusRevolution #CalvaryChapelMcKinney #ShadowOfAgeToCome Daily Holy Spirit led prayers posted at @GScottLaughlin Please ReTruth & Follow.Today’s Prayer:https://truthsocial.com/users/GScottLaughlin/statuses/1101348619841822742411",110136170559116886
2,3d,kagdrogo,"₭₳₲ ĐⱤØ₲Ø ️️️ ɄⱠ₮Ɽ₳2QQQVerified Account@kagdrogo·3dReplying to @GScottLaughlin, @fifidavid222, and 3 more21252",110136173017355968
3,3d,kagdrogo,"₭₳₲ ĐⱤØ₲Ø ️️️ ɄⱠ₮Ɽ₳2QQQVerified Account@kagdrogo·3dReplying to @GScottLaughlin, @fifidavid222, and 4 more21036",110136173790555881
4,3d,kagdrogo,"₭₳₲ ĐⱤØ₲Ø ️️️ ɄⱠ₮Ɽ₳2QQQVerified Account@kagdrogo·3dReplying to @GScottLaughlin, @fifidavid222, and 4 more1739",110136174788997558
5,3d,OksanaTrump," OKᔕᗩᑎᗩ Tᖇᑌᗰᑭ Verified Account@OksanaTrump·3dReplying to @kagdrogo, @fifidavid222, and 4 more41590",110136177250059894
6,3d,OksanaTrump," OKᔕᗩᑎᗩ Tᖇᑌᗰᑭ Verified Account@OksanaTrump·3dReplying to @kagdrogo, @fifidavid222, and 5 more11681",110136178328173749
7,3d,21BPatriot,21BPatriot@21BPatriot·3dReplying to @OksanaTrumpDamn straight!!!!!!10,110136180723143477
8,3d,Honkykong69,Honkykong69@Honkykong69·3dReplying to @OksanaTrumpOddlyDrawnShadow2,110136200676186761
9,2d,Pammypower,"Pammypower@Pammypower·2dReplying to @OksanaTrump, @GScottLaughlin, and 2 moreAbsolutely 1",110137257865988304
10,2d,Invalid_name1947,"LeeLee@Invalid_name1947·2dReplying to @kagdrogo, @GScottLaughlin, and 1 moreSo true! @kagdrogo Half of America  needs to wake up to this fact! I find it very hard to believe that half of America can be that ignorant and not see what’s happening to their children!  Are if they seriously not caring! ￼ Are they hey so afraid of Trump they’re willing to destroy our country and our children over it? God help us! Left media enemies of￼ the people. ￼ all our moral institutions are at an all time low! That should alarm  America  ￼.",110139496262305346
11,3d,God_Bless_Trump,"Andrea | #IStandWithTrump @God_Bless_Trump·3dReplying to @TressTrut, @GScottLaughlin, and 3 more21241",110136342054791859
