,date,author,text,id
0,Mar 31,Laurenb2016,RegularAmerican@Laurenb2016·Mar 31Replying to @realDonaldTrumpWe will not let them win!5438,110117497796298968
1,Mar 31,EricVentura1,Memeaway@EricVentura1·Mar 31Replying to @Laurenb20162636,110117500140679430
2,Mar 31,bi11,ULTRA Bi11 Rooster@bi11·Mar 31Replying to @EricVentura1 and @Laurenb2016138,110117678568635988
3,Mar 31,OksanaTrump," OKᔕᗩᑎᗩ Tᖇᑌᗰᑭ Verified Account@OksanaTrump·Mar 31Replying to @bi11, @EricVentura1, and 1 more32559",110118000559415311
4,Mar 31,OksanaTrump," OKᔕᗩᑎᗩ Tᖇᑌᗰᑭ Verified Account@OksanaTrump·Mar 31Replying to @bi11, @EricVentura1, and 2 more21459",110118001797195846
5,Mar 31,Spbrouman,"Facts matter@Spbrouman·Mar 31Replying to @OksanaTrump, @bi11, and 2 more""UNITED"" STATES OF AMERICA1212",110118007806592686
6,Mar 31,Carpenter108,"Carpenter108@Carpenter108·Mar 31Replying to @OksanaTrump, @bi11, and 2 moreGod is always with you where ever you go. He will never leave you.",110120690327425753
7,Mar 31,SM18,SM18@SM18·Mar 31Replying to @Laurenb2016 and @realDonaldTrumpWinning!24,110117515236562157
8,Mar 31,AMERICANP8RIOT,"AMERICANP8RIOT@AMERICANP8RIOT·Mar 31Replying to @SM18, @Laurenb2016, and 1 moreGame aint over.   You have really pissed off MOST AMERICANS.  WAIT AND SEE WHAT HAPPENS NOW5117",110117523636431891
9,Mar 31,SM18,"SM18@SM18·Mar 31Replying to @AMERICANP8RIOT, @Laurenb2016, and 2 moreIt’s over. J6 & Georgia coming next then documents… it’s like Christmas for days15",110117529953921907
10,Mar 31,AMERICANP8RIOT,"AMERICANP8RIOT@AMERICANP8RIOT·Mar 31Replying to @SM18, @AMERICANP8RIOT, and 2 moreYou celebrate America turning communist?21",110117660455793337
11,Mar 31,WokeLiberal420,"Bacon Grease@WokeLiberal420·Mar 31Replying to @AMERICANP8RIOT, @Laurenb2016, and 2 more2",110119070765095599
12,Apr 1,KMHerm,"KMHerm@KMHerm·Apr 1Replying to @AMERICANP8RIOT, @Laurenb2016, and 2 moreThey’re just common trolls. Look at their accounts here… I block them.1",110124666153067912
13,Mar 31,the_lazy_i,"LDC123@the_lazy_i·Mar 31Replying to @AMERICANP8RIOT, @Laurenb2016, and 2 more“Most”….Trump hasn’t won a popular vote yet. Please, show me your source on “most”. Your daddy’s gonna get a mugshot and I love this for him and YOu!33",110117870002566325
14,Mar 31,AMERICANP8RIOT,"AMERICANP8RIOT@AMERICANP8RIOT·Mar 31Replying to @the_lazy_i, @AMERICANP8RIOT, and 3 moreHave a good day1",110118024550736662
15,Mar 31,the_lazy_i,"LDC123@the_lazy_i·Mar 31Replying to @AMERICANP8RIOT, @Laurenb2016, and 2 moreSo you can’t prove your claim?  Got it. You have a good day as well!2",110118027322410194
16,Mar 31,AMERICANP8RIOT,"AMERICANP8RIOT@AMERICANP8RIOT·Mar 31Replying to @the_lazy_i, @AMERICANP8RIOT, and 3 moreHmmmm.   Open mouth insert foot.  Speak first think later.   Jump to conclusions11",110118041540359026
