,date,author,text,id
0,1d,toket,"Patriotic American Alpha Sauce@toket·1dReplying to @andrew36, @EriccUtah88, and 3 more2048119",110143726467442420
1,1d,FruitSnacks,"FruitSnacks @FruitSnacks·1dReplying to @toket, @andrew36, and 3 more426126",110143738540651219
2,1d,FruitSnacks,"FruitSnacks @FruitSnacks·1dReplying to @toket, @andrew36, and 4 more928181",110143739995010377
3,1d,Lara45,"𝐿𝒶𝓇𝒶 | #IStandWithTrump@Lara45·1dReplying to @FruitSnacks, @andrew36, and 4 moreBut they indicted President Trump! A innocent man- think about it! 30119415",110143741882132397
4,1d,Lara45,"𝐿𝒶𝓇𝒶 | #IStandWithTrump@Lara45·1dReplying to @FruitSnacks, @andrew36, and 5 more1348257",110143743338339394
5,1d,GodandCountryy,"God & Country@GodandCountryy·1dReplying to @andrew36, @EriccUtah88, and 1 more2090478",110143758277591728
6,1d,EricMSUfanUSA,RINO TURD@EricMSUfanUSA·1dReplying to @GodandCountryy and @andrew36Get ready for Trump 10.0.5537,110143761097513399
7,1d,Lara45,"𝐿𝒶𝓇𝒶 | #IStandWithTrump@Lara45·1dReplying to @EricMSUfanUSA, @andrew36, and 1 more3185236",110143763270109068
8,1d,Lara45,"𝐿𝒶𝓇𝒶 | #IStandWithTrump@Lara45·1dReplying to @EricMSUfanUSA, @andrew36, and 2 more1058217",110143765130614090
9,1d,NorthStarFP,"North Star   #IStandWithTrump@NorthStarFP·1dReplying to @Lara45, @andrew36, and 2 moreAnd Republicans are scared of Democrats. So much so they won't go after them at all. All talk, no prosecutions.14554",110143772059382336
10,1d,DaKine17,"DaKine 17@DaKine17·1dReplying to @NorthStarFP, @EricMSUfanUSA, and 2 moreThe Proof Of Worthby Edgar Albert Guest“…The test of a man is how much he will bearFor a cause which he knows to be right,How long will he stand in the depths of despair,How much will he suffer and fight?There are many to serve when the victory's nearAnd few are the hurts to be borne,But it calls for a leader of courage to cheerThe men in a battle forlorn…”https://rumble.com/embed/v2d5xg0/?pub=1w5hhuDonald J Trump “The Proof Of Worth” by Edgar Albert GuestRumble.com23183",110143793612720433
11,1d,DaKine17,"DaKine 17@DaKine17·1dReplying to @NorthStarFP, @DaKine17, and 4 more@realDonaldTrump “If” by Rudyard Kiplinghttps://rumble.com/embed/v15b1yn/?pub=1w5hhu https://www.poetryfoundation.org/poems/46473/if---""A Tribute to Trump Legacy"" by Rudyard Kipling ""IF"" poemRumble.com21968",110143796246914898
12,1d,DaKine17,"DaKine 17@DaKine17·1dReplying to @NorthStarFP, @DaKine17, and 4 more“There are winds of destiny that blow when we least expect them. Sometimes they gust with the fury of a hurricane, sometimes they barely fan one’s cheek. But the winds cannot be denied, bringing as they often do a future that is impossible to ignore.”~Nicholas Sparkshttps://rumble.com/embed/v2c4am0/?pub=1w5hhu https://youtu.be/igqqG8ikdowStand by me.YouTube31044",110143798215121221
13,19h,OksanaTrump," OKᔕᗩᑎᗩ Tᖇᑌᗰᑭ Verified Account@OksanaTrump·19hReplying to @BDBLV2022, @DaKine17, and 9 more41150",110148645043530513
14,19h,OksanaTrump," OKᔕᗩᑎᗩ Tᖇᑌᗰᑭ Verified Account@OksanaTrump·19hReplying to @BDBLV2022, @DaKine17, and 10 more946112",110148645893681283
15,19h,OksanaTrump," OKᔕᗩᑎᗩ Tᖇᑌᗰᑭ Verified Account@OksanaTrump·19hReplying to @BDBLV2022, @DaKine17, and 10 moreMy President!!  #MAGA32372",110148648276817154
16,19h,OksanaTrump," OKᔕᗩᑎᗩ Tᖇᑌᗰᑭ Verified Account@OksanaTrump·19hReplying to @BDBLV2022, @DaKine17, and 10 more32047",110148649444520257
17,19h,RobBlue1,"RobBlue1@RobBlue1·19hReplying to @OksanaTrump, @BDBLV2022, and 10 more16",110148683283803718
18,18h,Albertabuck,"Albertabuck@Albertabuck·18hReplying to @OksanaTrumpIndict Bragg. Trump is not on trial, the American legal system is. Republic or banana republic, equal justice for all or tyranny.12",110148762407546183
19,16h,SwtPeas23,Swt-Pea@SwtPeas23·16hReplying to @Albertabuck and @OksanaTrumpIt is TYRANY!11,110149226361117301
20,16h,Albertabuck,"Albertabuck@Albertabuck·16hReplying to @SwtPeas23No, it's tyranny.11",110149246189477082
21,16h,SwtPeas23,Swt-Pea@SwtPeas23·16hReplying to @Albertabuck and @SwtPeas23Yea yea1,110149257343197732
22,16h,Albertabuck,"Albertabuck@Albertabuck·16hReplying to @SwtPeas23When the blonde in the spelling bee was asked to spell "" orange"", she asked, "" the fruit or the color"".1",110149285730834507
23,17h,HaulnHfrs,"Deonna Tomlinson@HaulnHfrs·17hReplying to @OksanaTrump, @BDBLV2022, and 10 moreI heard that Obama suddenly remembered that he had that was gonna need his presence in Kenya for the next yr or so !!!!!I seem to rememberQ say’n he’d change his residence to Kenya before long !!!!1",110148968633388046
24,15h,junkshopper,"sea glass girl@junkshopper·15hReplying to @OksanaTrump, @BDBLV2022, and 10 moreWhat has gone on is criminal and illegal fix the witch hunter swamp",110149418421625858
25,15h,mzeatright,"MzEatright@mzeatright·15hReplying to @OksanaTrump, @BDBLV2022, and 10 moreThat’s a start. ",110149542373429845
26,9h,AngV,"Big Toe@AngV·9hReplying to @OksanaTrump, @BDBLV2022, and 10 moreAdd majority of congress, many governors, and judges 1",110150912065477021
27,19h,RayArmas,"Ray Armas@RayArmas·19hReplying to @OksanaTrump, @BDBLV2022, and 10 moreChinas Bitch with a piggy bank in Ukraine12",110148663066969664
28,18h,BDBLV2022,"BruceLV@BDBLV2022·18hReplying to @RayArmas, @BDBLV2022, and 9 more2",110148900231862094
29,18h,Philache,"Philache@Philache·18hReplying to @OksanaTrump, @BDBLV2022, and 10 moreVery interesting that calling biden illegitimate never gets  checked by fact checkers on fb. Is it because if they were to become a court case on this evidence could be brought to trial?21",110148725425869355
30,18h,BDBLV2022,"BruceLV@BDBLV2022·18hReplying to @Philache, @BDBLV2022, and 11 more123",110148894189803286
31,16h,SwtPeas23,"Swt-Pea@SwtPeas23·16hReplying to @BDBLV2022, @DaKine17, and 11 moreHow much was he paid to let that happen and do nothing until they were through collecting.12",110149242311153210
32,16h,BDBLV2022,"BruceLV@BDBLV2022·16hReplying to @SwtPeas23, @BDBLV2022, and 12 more",110149310340181808
33,18h,BDBLV2022,"BruceLV@BDBLV2022·18hReplying to @Philache, @BDBLV2022, and 11 more11",110148895389726919
34,7h,DaKine17,"DaKine 17@DaKine17·7hReplying to @shannie, @BDBLV2022, and 11 moreFauci and others knew and they tried to cover it up.“Now, a string of unearthed emails is making it seem increasingly likely that there was, in fact, a conspiracy, its aim being to suppress the notion that the virus had emerged from research funded by the National Institute of Allergy and Infectious Diseases (NIAID), headed by Anthony Fauci.”https://youtu.be/5bbMe7AfZGg https://nypost.com/2022/01/24/emails-reveal-suspected-covid-leaked-from-a-wuhan-lab-then-censored-themselves/Internal emails confirm gain of function research on corona virus was successful.YouTube41426",110151410909657881
35,7h,DaKine17,"DaKine 17@DaKine17·7hReplying to @shannie, @BDBLV2022, and 11 more“…Fauci once argued that conducting experiments on contagious viruses to increase their potency was worth the risk, even if the work could accidentally lead to a pandemic…”Fauci - ""You don't want to go to Hoboken NJ or to Fairfax VA to study the bat-human interface that might lead to an outbreak - so you go to China."" https://youtu.be/whNJdP_j1nY https://nypost.com/2021/05/28/fauci-once-argued-viral-experiments-worth-the-risk-of-pandemic/Will Fauci finally be indicted?YouTube82938",110151413106141014
36,7h,DaKine17,"DaKine 17@DaKine17·7hReplying to @shannie, @BDBLV2022, and 11 moreJim Jordan EXPOSES 7 Facts Faucihttps://rumble.com/embed/v2bypzm/?pub=1w5hhuCovid 19 timeline of blame.https://investorshub.advfn.com/boards/read_msg.aspx?message_id=170724872Jim Jordan EXPOSES 7 Fauci Facts. ☣️Rumble.com61726",110151417433478671
37,7h,wheelthat,"That Old Wheel@wheelthat·7hReplying to @DaKine17, @BDBLV2022, and 11 more123",110151421785817537
38,6h,Grandma1961,"Grandma1961@Grandma1961·6hReplying to @wheelthat, @BDBLV2022, and 12 more1",110151684379564791
39,7h,pegz,"GoodTimesAhead@pegz·7hReplying to @DaKine17, @BDBLV2022, and 11 moreAnd Fauci is planning another ""pandemic"" ... next year, just in time for the 2024 election123",110151482289485779
40,6h,Bellabee,"BellaBee@Bellabee·6hReplying to @pegz, @BDBLV2022, and 12 moreIt’s called genocide and our tax dollars are being used to commit mass murder. As if poisoning people with a man made virus wasn’t bad enough, now our government is paying illegals to come here and they are bringing fentanyl hence poisoning Americans at the tune of 300 a day. Modern day Jim Jones...When will people wake up?21",110151616718461573
41,6h,badland1776,"badland1776@badland1776·6hReplying to @DaKine17, @BDBLV2022, and 11 moreI hope so! The committees must bring the indictments now or we will run out of time and potentially not get the chance again!5",110151527866139456
42,6h,Bellabee,"BellaBee@Bellabee·6hReplying to @DaKine17, @BDBLV2022, and 11 moreAmerican tax dollars were used to commit genocide on our own people. My father, friends, neighbors were murdered. Millions were murdered via American tax dollars!2",110151556839334617
43,6h,Drak7,"Drak7@Drak7·6hReplying to @DaKine17, @BDBLV2022, and 11 moreI am so excited to watch this unfolding, the intricacy, the strategy, the climactic build up, the complexity, the engagement of thought required, the inability to keep up with all of the things coming in to play, the ability to participate in so many ways, the awakening in people’s faces, and MOAB is still two weeks away, it’s amazing we all aren’t deliriously giddy.12",110151570230204296
44,6h,SidneeZingara,"RebellioUS@SidneeZingara·6hReplying to @Drak7, @BDBLV2022, and 12 moreWhat’s the MOAB this time?  What happens in two weeks?  Seems it’s always just weeks away 13",110151675103308633
45,3h,Drak7,"Drak7@Drak7·3hReplying to @SidneeZingara, @BDBLV2022, and 13 moreReminds me of; Be not drunk with wine, but be filled with The Spirit of God. It’s the best high just seeing the Hand of God work and especially through US!1",110152453578860252
46,21m,SidneeZingara,"RebellioUS@SidneeZingara·21mReplying to @Drak7, @BDBLV2022, and 13 moreHmmm…I was thinking this: “Stop drinking only water, and use a little wine because of your stomach and your frequent illnesses.”‭‭1 Timothy‬ ‭5‬:‭23‬ ‭NIV‬‬.                            You’re right, though!",110153094318514023
47,6h,Bellabee,"BellaBee@Bellabee·6hReplying to @DaKine17, @BDBLV2022, and 11 moreIt is genocide via Covid now genocide via fentanyl, and our own tax dollars are being used to fund the genocide! When will our congressmen call it what it is?1",110151588145281797
48,7h,jenkerr2018,"jenkerr@jenkerr2018·7hReplying to @DaKine17, @BDBLV2022, and 11 moreBeen killing people for years with his disastrous viruses and auto immune attackers…. Gallows would actually be too humane for him, and the Gates idiot…4",110151424694277498
49,7h,Bleedingrock,"WLSmith@Bleedingrock·7hReplying to @DaKine17https://www.freepressfail.com/2021/09/17/fraud-fauci-turns-out-the-doctor-has-a-long-record-of-withholding-vital-treatments/FRAUD FAUCI: Turns Out The Doctor Has A Long Record Of Withholding Vital TreatmentsIn the height of the AIDS epidemic in the late 1980a, Dr. Anthony Fauci was already the head of infectious diseases at the National Institute of Health (NIH) and was tasked with managing the outbreak and…Free Press Fail11",110151459842745756
50,6h,SidneeZingara,RebellioUS@SidneeZingara·6hReplying to @Bleedingrock and @DaKine17This evil got a taste of killing decades ago and has only grown. Time for something to be done about it!!!!1,110151680787285861
51,7h,63concern,"63concern@63concern·7hReplying to @DaKine17, @BDBLV2022, and 11 moreNot until the Communist lose all power.2",110151502349468396
52,7h,Drak7,"Drak7@Drak7·7hReplying to @DaKine17, @BDBLV2022, and 11 moreFaucist is an actor extraordinare, who can look at any person in the face and tell them a known lie is the truth and the known truth is a lie with conviction in expression and demeanor. It is a terrifying talent and when you think about that, you realize the level of danger actors seen as idols presents; elites, wealthy, royals, politicians, lawyers, news personalities, Hollywood actors, TV actors, Cartoons, CG characters, religious leaders...and even scarier is people applaud the ability to lie13",110151522766108080
53,6h,SidneeZingara,"RebellioUS@SidneeZingara·6hReplying to @Drak7, @BDBLV2022, and 12 moreIsaiah 5:20. Woe is coming. A special place in he!! for this piece of lying, God-forsaking beast.113",110151685901630415
