,date,author,text,id
0,Mar 31,ErichDerbsch,MAGA Derbsch #IStandWithTrump@ErichDerbsch·Mar 31Replying to @realDonaldTrump1572308,110121482159389425
1,Mar 31,YalePhD,"Yale PhD | #IStandWithTrump@YalePhD·Mar 31Replying to @ErichDerbsch and @realDonaldTrumpSomething’s going down – so what’s all the excitement?ELECTION INTERFERENCE via BOGUS indictment!They clearly want to sow discord and create incitement,but Trump is strong, and they won’t even create a slight dent!I’m noticing that more and more people can see through this!It’s time to take our country back – we already knew this!But there are still some folks who remain totally clueless.Let’s get them all on board so WE can go out and do this!We are strong-we will not fall, & WWG1WGA3171274",110121485183724418
2,Mar 31,YalePhD,"Yale PhD | #IStandWithTrump@YalePhD·Mar 31Replying to @ErichDerbsch, @realDonaldTrump, and 1 more438230",110121486742200024
3,Mar 31,YalePhD,"Yale PhD | #IStandWithTrump@YalePhD·Mar 31Replying to @ErichDerbsch, @realDonaldTrump, and 1 moreI am your WARRIOR and I am your RETRIBUTION!I am your JUSTICE and your VOICE, and I provide solutions!I’ll totally OBLITERATE the deep state and collusion,I love our great Country and I uphold the Constitution!Patriots ascend even when they’re under attack,now it’s time to finish up our work andTAKE OUR COUNTRY BACK!         1041204",110121488234602356
4,Mar 31,Duphorn,"Duphorn@Duphorn·Mar 31Replying to @YalePhD, @ErichDerbsch, and 1 more418123",110121490791590071
5,Mar 31,_ero,"_ero@_ero·Mar 31Replying to @Duphorn, @ErichDerbsch, and 2 more26104326",110121491940607593
6,Mar 31,Sad_But_True,"𝕄𝕂 𝕌𝕝𝕥𝕣𝕒 𝕄𝔸𝔾𝔸𝕥  BasedRedChad@Sad_But_True·Mar 31Replying to @OksanaTrump, @_ero, and 5 more#IStandWithTrump the movie. https://rumble.com/v2fpkes-i-stand-with-trump.htmlI Stand With TrumpRumble.com51974",110121543479404087
7,Apr 1,Ssusann,"Ssusann@Ssusann·Apr 1Replying to @Sad_But_True, @_ero, and 6 more21482",110121625661457170
8,Apr 1,Lara45,"𝐿𝒶𝓇𝒶 | #IStandWithTrump@Lara45·Apr 1Replying to @Ssusann, @_ero, and 7 moreHe is that outsider America needed, that outsider who is not backed by the lobbyist and the corrupt Washington Establishment. It is that outsider they trying to defeat for seven years because he is working for the American people. It’s that outsider we need back right now more than ever. We love President Trump, we stand with him. #Trump2024 #maga #IStandWithTrump 830117",110121640871533294
9,Apr 1,Lara45,"𝐿𝒶𝓇𝒶 | #IStandWithTrump@Lara45·Apr 1Replying to @Ssusann, @_ero, and 8 more1260154",110121641996258236
10,Apr 1,Lara45,"𝐿𝒶𝓇𝒶 | #IStandWithTrump@Lara45·Apr 1Replying to @Ssusann, @_ero, and 8 more823119",110121643992913601
