,date,author,text,id
0,3d,OksanaTrump, OKᔕᗩᑎᗩ Tᖇᑌᗰᑭ Verified Account@OksanaTrump·3dReplying to @StevenSeggal1 and @TheresaCastillo2084379,110136090017471906
1,3d,OksanaTrump," OKᔕᗩᑎᗩ Tᖇᑌᗰᑭ Verified Account@OksanaTrump·3dReplying to @StevenSeggal1, @OksanaTrump, and 1 more853270",110136090912439440
2,3d,OksanaTrump," OKᔕᗩᑎᗩ Tᖇᑌᗰᑭ Verified Account@OksanaTrump·3dReplying to @joelmanpet, @OksanaTrump, and 2 more540220",110136091867916539
3,3d,Duphorn,"Duphorn@Duphorn·3dReplying to @OksanaTrump, @joelmanpet, and 2 more3751",110136092930576333
4,3d,OksanaTrump," OKᔕᗩᑎᗩ Tᖇᑌᗰᑭ Verified Account@OksanaTrump·3dReplying to @Duphorn, @joelmanpet, and 3 more1053286",110136093601828000
5,3d,kagdrogo,"₭₳₲ ĐⱤØ₲Ø ️️️ ɄⱠ₮Ɽ₳2QQQVerified Account@kagdrogo·3dReplying to @OksanaTrump, @Duphorn, and 3 more421116",110136094745568637
6,3d,OksanaTrump," OKᔕᗩᑎᗩ Tᖇᑌᗰᑭ Verified Account@OksanaTrump·3dReplying to @kagdrogo, @Duphorn, and 4 more233135",110136095153848412
7,3d,Lara45,"𝐿𝒶𝓇𝒶 | #IStandWithTrump@Lara45·3dReplying to @ArmaanBentley, @Duphorn, and 4 moreThey indicted President Trump, by creating a crime- before they have indicted any of the #bidencrimefamily That's all you got to know about our Legal System!1568166",110136098465320872
8,3d,Lara45,"𝐿𝒶𝓇𝒶 | #IStandWithTrump@Lara45·3dReplying to @ArmaanBentley, @Duphorn, and 5 moreBragg has received a million dollars of Soros tied money. 'The Laws of Bragg' are the rule of Law after a corrupt Banana Republic Court...Show me the man and I'll show you the crime, the more corrupt the State, the more numerous the laws.1865132",110136100934152501
9,3d,jkk4782,"Question Everything@jkk4782·3dReplying to @Lara45, @Duphorn, and 2 more21684",110136111971246796
10,3d,jkk4782,"Question Everything@jkk4782·3dReplying to @Lara45, @Duphorn, and 3 more83490",110136112713371037
11,3d,jkk4782,"Question Everything@jkk4782·3dReplying to @Lara45, @Duphorn, and 3 more1247126",110136113478243485
12,3d,Lara45,"𝐿𝒶𝓇𝒶 | #IStandWithTrump@Lara45·3dReplying to @kagdrogo, @angh53, and 4 moreThey are so afraid of President Trump, because he will be finishing the mission, be will be exposing all corruption- their corruption and will return the power back to the people.52158",110136140318435328
13,3d,GodandCountryy,"God & Country@GodandCountryy·3dReplying to @Lara45, @angh53, and 5 more62655",110136155631082652
14,3d,GodandCountryy,"God & Country@GodandCountryy·3dReplying to @Lara45, @angh53, and 6 more43185",110136156457186171
15,3d,GodandCountryy,"God & Country@GodandCountryy·3dReplying to @Lara45, @angh53, and 6 more541117",110136157382511230
16,3d,PureBloodPatriot17," OG ANON @PureBloodPatriot17·3dReplying to @GodandCountryy, @angh53, and 6 morehttps://truthsocial.com/users/PureBloodPatriot17/statuses/1101361414859115021",110136158714970548
17,3d,Jondsmusic,"Jondsmusic@Jondsmusic·3dReplying to @GodandCountryy, @angh53, and 6 moreTry eight!215",110136260933527782
18,3d,God_Bless_Trump,"Andrea | #IStandWithTrump @God_Bless_Trump·3dReplying to @Jondsmusic, @angh53, and 7 moreSoon there will be Boomerangs for Biden!31343",110136310280421421
19,2d,danapinkard,"Dana Pinkard@danapinkard·2dReplying to @God_Bless_Trump, @angh53, and 8 moreLol these boomerangs all need to have his charges written on them  of course there’d be quite a few boomerangs added14",110136734891556810
20,2d,Jondsmusic,"Jondsmusic@Jondsmusic·2dReplying to @danapinkard, @angh53, and 9 moreYep!2",110136739189348712
21,2d,Jondsmusic,"Jondsmusic@Jondsmusic·2dReplying to @God_Bless_Trump, @angh53, and 8 moreBoom!11",110136738353701415
22,2d,eepiv7,"E-15@eepiv7·2dReplying to @Jondsmusic, @angh53, and 8 more314",110137611464021529
23,2d,BDBLV2022,"BruceLV@BDBLV2022·2dReplying to @GodandCountryy, @angh53, and 6 more817",110136601647827343
24,2d,soulfighter91,"soulfighter91@soulfighter91·2dReplying to @GodandCountryy, @angh53, and 6 moreAmen 1",110136744932354459
25,3d,PureBloodPatriot17," OG ANON @PureBloodPatriot17·3dReplying to @GodandCountryy, @angh53, and 6 morehttps://truthsocial.com/users/PureBloodPatriot17/statuses/110136141485911502",110136157651710236
26,3d,GodandCountryy,"God & Country@GodandCountryy·3dReplying to @Lara45, @angh53, and 6 more740125",110136158324129773
27,3d,BDBLV2022,"BruceLV@BDBLV2022·3dReplying to @GodandCountryy, @angh53, and 6 more2814",110136159961005550
28,3d,ChildofGod56,"ChildofGod56@ChildofGod56·3dReplying to @BDBLV2022, @angh53, and 7 moreAGAIN- Almighty God does NOT need an election to reseat the duly-elected President.2310",110136404114490326
29,2d,BDBLV2022,"BruceLV@BDBLV2022·2dReplying to @ChildofGod56, @angh53, and 8 more122",110136562568166968
30,2d,hellotrae3,"Astraea4Liberty@hellotrae3·2dReplying to @BDBLV2022, @angh53, and 8 moreProfessional Fishing Tournament Winners are required to pass a polygraph test to prevent cheating but we’re just supposed to believe the fish story of all fish stories, Arrest the Bidens!25",110137431506212167
31,2d,BDBLV2022,"BruceLV@BDBLV2022·2dReplying to @hellotrae3, @angh53, and 9 more11",110138482677836132
