,date,author,text,id
0,Mar 27,JustTheFacts2023,"JustTheFacts2023@JustTheFacts2023·Mar 27Replying to @jackmarshall94, @jeffrey75_, and 2 morehttps://twitter.com/GerryConnolly/status/1638946078257979404?s=20Rep. Gerry Connolly on Twitter“If you listened to Republicans this morning, you'd think they slept through the Trump years.

Secretary Blinken was before @HouseForeign today. I took the chance to correct the record. Turns out the Trump…twitter.com9215",110097234469817508
1,Mar 27,GodandCountryy,"God & Country@GodandCountryy·Mar 27Replying to @stefmaryy41, @jackmarshall94, and 4 more1634200",110097241402219381
2,Mar 27,GodandCountryy,"God & Country@GodandCountryy·Mar 27Replying to @stefmaryy41, @GodandCountryy, and 3 moreTrump 2044272",110097243283790169
3,Mar 27,GodandCountryy,"God & Country@GodandCountryy·Mar 27Replying to @stefmaryy41, @GodandCountryy, and 3 more1559376",110097244282493632
4,Mar 27,matthixson17,"MAtT Rowell hIXson@matthixson17·Mar 27Replying to @JackieV, @GodandCountryy, and 6 more719164",110097281239785021
5,Mar 27,matthixson17,"MAtT Rowell hIXson@matthixson17·Mar 27Replying to @JackieV, @GodandCountryy, and 6 more4880",110097283304604484
6,Mar 27,God_Bless_Trump,"Andrea | #IStandWithTrump @God_Bless_Trump·Mar 27Replying to @matthixson17, @GodandCountryy, and 6 more714113",110097295125675063
7,Mar 27,God_Bless_Trump,"Andrea | #IStandWithTrump @God_Bless_Trump·Mar 27Replying to @matthixson17, @God_Bless_Trump, and 7 more816126",110097296317945175
8,Mar 27,God_Bless_Trump,"Andrea | #IStandWithTrump @God_Bless_Trump·Mar 27Replying to @matthixson17, @God_Bless_Trump, and 7 moreRon Dukakis 8955",110097298433525006
9,Mar 27,matthixson17,"MAtT Rowell hIXson@matthixson17·Mar 27Replying to @God_Bless_Trump, @GodandCountryy, and 7 more1433",110097307617900123
10,Mar 27,iamaloveroflife,"lover of life@iamaloveroflife·Mar 27Replying to @Lara45, @God_Bless_Trump, and 7 more God would disagree32",110098527052370938
11,Mar 27,MVP213,"MVP  @MVP213·Mar 27Replying to @iamaloveroflife, @God_Bless_Trump, and 8 moreWhat do you know from God baby killer?15",110098604368915016
12,Mar 27,PatriciaCavazzoni,"TRUMP 2020 🫶 @PatriciaCavazzoni·Mar 27Replying to @iamaloveroflife, @God_Bless_Trump, and 8 more@iamaloveroflife you have a lot of followers 5",110098790121536254
13,Mar 28,Mustang75x,Mustang75x@Mustang75x·Mar 28Replying to @iamaloveroflifeYou absolutely do not get to try and speak for God freakoperv137,110100254523736836
14,Mar 31,Debbie26,Debra Nickle@Debbie26·Mar 31Replying to @Mustang75x and @iamaloveroflifeIndeed!,110116443901239332
