,date,author,text,id
0,3d,YalePhD,"Yale PhD | #IStandWithTrump@YalePhD·3dReplying to @ToddConverse, @ArmandoElliott, and 3 moreSomething’s going down – so what’s all the excitement?ELECTION INTERFERENCE via BOGUS indictment!They clearly want to sow discord and create incitement,but Trump is strong, and they won’t even create a slight dent!I’m noticing that more and more people can see through this!It’s time to take our country back – we already knew this!But there are still some folks who remain totally clueless.Let’s get them all on board so WE can go out and do this!We are strong-we will not fall, & WWG1WGA2629",110131062599083826
1,3d,Foxfarley,"I KNOW A GUY 109@Foxfarley·3dReplying to @JacquelineBoyd, @ArmandoElliott, and 5 morehttps://thespectator.com/topic/hunter-biden-indicted-alvin-bragg-pandoras-box/Hunter Biden is going to be indictedPresident Biden may now find himself charged as a co-conspirator in one of Hunter Biden’s several financial entanglementsThe Spectator World8639",110131072119814338
2,3d,YalePhD,"Yale PhD | #IStandWithTrump@YalePhD·3dReplying to @Foxfarley, @ArmandoElliott, and 6 moreI am your WARRIOR and I am your RETRIBUTION!I am your JUSTICE and your VOICE, and I provide solutions!I’ll totally OBLITERATE the deep state and collusion,I love our great Country and I uphold the Constitution!Patriots ascend even when they’re under attack,now it’s time to finish up our work andTAKE OUR COUNTRY BACK!         323135",110131077281807467
3,3d,OksanaTrump," OKᔕᗩᑎᗩ Tᖇᑌᗰᑭ Verified Account@OksanaTrump·3dReplying to @YalePhD, @ArmandoElliott, and 6 moreYES!!!2822117",110131081157329437
4,3d,OksanaTrump," OKᔕᗩᑎᗩ Tᖇᑌᗰᑭ Verified Account@OksanaTrump·3dReplying to @YalePhD, @ArmandoElliott, and 7 more72679",110131082524663083
5,3d,Freedomlover48,"Freedomlover48@Freedomlover48·3dReplying to @OksanaTrump, @ArmandoElliott, and 7 moreWe already know.216",110131086850224540
6,3d,jeffconnor,"jeffconnor@jeffconnor·3dReplying to @OksanaTrump, @ArmandoElliott, and 7 morehttps://youtu.be/5wYPBj095acLaser Pointers Up Their Butts ""Drag Show"" Is Coming To Your LibraryYouTube33",110131088437595858
7,3d,justk3771,"Justk3771@justk3771·3dReplying to @jeffconnor, @Foxfarley, and 5 more2",110131162549202982
8,3d,argarslayer,"HONOR ABOVE ALL ELSE@argarslayer·3dReplying to @jeffconnor, @Foxfarley, and 2 moreToo bad those batteries don’t explode like EV batteries do. Might make these drag Queen shows worth watching.115",110132045502798005
9,3d,jeffconnor,"jeffconnor@jeffconnor·3dReplying to @argarslayer, @Foxfarley, and 3 moreThey probably started the trend shooting Roman Candles out their bung holes.1",110132064133477366
10,3d,crittermama,"Shari@crittermama·3dReplying to @jeffconnor, @Foxfarley, and 2 moreThis is what garbage liberals are obsessed with.5",110132181379074015
11,3d,GC147,"GC147@GC147·3dReplying to @OksanaTrump, @Foxfarley, and 4 moreYou need to put this over on Twitter.1",110131172962723018
12,3d,feduptohere,"Ann C@feduptohere·3dReplying to @OksanaTrump, @Foxfarley, and 4 moreLook at these losers. And I bet not one of them will be thrown in jail!7",110131364420390989
13,3d,lowlybard,"inamiddle@lowlybard·3dReplying to @OksanaTrump, @Foxfarley, and 2 moreWow! Nashville? How many people died? How many injured? Who was arrested on site? And what was their cause???2",110131513254008421
14,3d,Stopthesteal1,Stopthesteal1@Stopthesteal1·3dReplying to @OksanaTrumpWe all know only Republicans are convicted for freedom of Speech.That means anyone that disagrees with the Democratic Party.14,110132190603801207
15,1d,scottfree1,"Scottfree@scottfree1·1dReplying to @OksanaTrump, @Foxfarley, and 1 moreDemocrats the  Parry of corruption lies thievery and insanity The Party of Marxists there is no longer A Democratic Party it’s the party of Lawlessness The Party of destruction The Party of rot !!!!!!1",110143800267698093
16,3d,Cherell,"Sunshine@Cherell·3dReplying to @OksanaTrump, @ArmandoElliott, and 7 moreTo the fullest!!1",110131082910828769
17,3d,wejustify,"Eric@wejustify·3dReplying to @OksanaTrump, @ArmandoElliott, and 7 moreTime will tell…",110131088900650988
18,3d,JohnnyOBryan17,"JohnnyO’Bryan@JohnnyOBryan17·3dReplying to @OksanaTrump, @ArmandoElliott, and 7 more",110131089244662877
19,3d,flushot22T,"Flushot22T@flushot22T·3dReplying to @OksanaTrump, @ArmandoElliott, and 7 moreHell Yes!!! That swamp needs a good draining. Enough is enough!!19",110131091011813702
20,3d,GARYSO,"PEPESO / #IStandWithTrump@GARYSO·3dReplying to @OksanaTrump, @ArmandoElliott, and 7 moreHe should have an Acid trip ",110131097014794039
21,3d,healthonista17,"ULTRAHealthonista17 @healthonista17·3dReplying to @OksanaTrump, @ArmandoElliott, and 7 moreNo. Firing Squaded. With his cronies.6",110131102119448394
22,3d,DCA11,"DCA11@DCA11·3dReplying to @OksanaTrump, @ArmandoElliott, and 7 moreHe needs to be removed from the planet along with his enablers.4",110131105492840583
23,3d,celica2550cla,"celica2550cla@celica2550cla·3dReplying to @OksanaTrump, @Foxfarley, and 4 moreAbsolutely!!!!!!!!!!!!!!1",110131152803524061
24,3d,feduptohere,"Ann C@feduptohere·3dReplying to @OksanaTrump, @Foxfarley, and 4 moreHell yes!2",110131353341021836
25,3d,feduptohere,"Ann C@feduptohere·3dReplying to @OksanaTrump, @Foxfarley, and 4 moreIf Democrats want to play games Republicans can too and should! Too bad so many of them are cowards!18",110131358429194388
26,3d,turnthelightsoff,"turnthelightsoff@turnthelightsoff·3dReplying to @OksanaTrump, @Foxfarley, and 2 moreno one is above the law!!!!!!2",110131582005469725
27,3d,OksanaTrump," OKᔕᗩᑎᗩ Tᖇᑌᗰᑭ Verified Account@OksanaTrump·3dReplying to @turnthelightsoff, @Foxfarley, and 3 moreUnless you’re a democrat.3632",110131588733702875
28,3d,jwboger,"John Walter Boger@jwboger·3dReplying to @OksanaTrump, @Foxfarley, and 3 moreAgreed2",110131594975309203
29,3d,MAGAlomaniaManDan,"Proud Christian Dan@MAGAlomaniaManDan·3dReplying to @OksanaTrumpThey deserve worse, give it to em1",110131603320522183
30,3d,TKB79,"TimotyKBarnett@TKB79·3dReplying to @OksanaTrump, @Foxfarley, and 3 moreCorrect",110131612084513539
31,3d,patriotofliberty777,"POL@patriotofliberty777·3dReplying to @turnthelightsoff, @Foxfarley, and 2 moreReally?12",110132232183163782
32,3d,snowoatmeal,"snowoatmeal@snowoatmeal·3dReplying to @realDonaldTrumphttps://rumble.com/v2fobi0--system-update-64.htmlRand Paul Blocks Authoritarian “Anti-TikTok” Bill. Plus: Darren Beattie on Douglass Mackey Guilty Verdict, Trump Indictment…Rumble.com",110131117417053499
33,3d,dumdee,Dee@dumdee·3dReplying to @realDonaldTrumpBackfiring BIGLEY ,110131118700345783
34,3d,PinkWave,PinkWave@PinkWave·3dReplying to @realDonaldTrump@realDonaldTrump #LockHimUp MegaDomesticTerrorist,110131120375688208
35,3d,Kellyannekirkpatrick,"There! I SAID IT!@Kellyannekirkpatrick·3dReplying to @realDonaldTrumpIf we had to vote today Donald J. Trump would win in an epic Landslide. All you 1 percenters who think you know what's best for us ""useless eaters"" are very wrong and very misguided in your attempts to overthrow America the proud, the strong. You will not win. Now that we know who you really are and what you've done. You are doomed for forever. God wins. We Know Everything2",110131121204602213
36,3d,GC147,"GC147@GC147·3dReplying to @realDonaldTrumpOur family, most in our church and their families, people from college and high school, are all voting for Trump!1",110131121236810166
37,3d,Assman123456789,Assman123456789@Assman123456789·3dReplying to @ArmandoElliottCrack head!!!For a son!!!2,110131123054569483
38,3d,GC147,GC147@GC147·3dReplying to @ArmandoElliottI got one with him and a little kid.,110131123579299727
39,3d,cooperbestdog,"honesty@cooperbestdog·3dReplying to @JimGlover12, @ArmandoElliott, and 2 moreAll the indictments",110131129043351936
40,3d,MAGAPurpleLady,"MAGA Purple Lady@MAGAPurpleLady·3dReplying to @ToddConverse, @ArmandoElliott, and 4 more17",110131134270985326
41,3d,GC147,"GC147@GC147·3dReplying to @ToddConverse, @ArmandoElliott, and 4 more",110131135292128984
42,3d,AlphaBeardBrusher,Tre45on@AlphaBeardBrusher·3dReplying to @realDonaldTrumpHard to believe that Donald having sex with someone resulted in something worse than Don Jr.2,110131135464039690
43,3d,ASEAredix,"EMPSurvivalDOTstore@ASEAredix·3dReplying to @realDonaldTrumpDonald Trump had his plate of food taken right out of his hands during the election. He had so much piled on it, on it before, now even more is piled on, but he knows every morsel piled on that plate, it is HIS PLATE. Only he can pick up the pieces, because he has been part of the pieces from the get-go, he is completely intertwined to our times, this cycle. ONLY HE CAN CAN WALK INTO THIS RAT'S NEST and know who is who and what is what and pick up where he left off.1",110131135640588129
