,date,author,text,id
0,3d,YalePhD,"Yale PhD | #IStandWithTrump@YalePhD·3dReplying to @ToddConverse, @ArmandoElliott, and 3 moreSomething’s going down – so what’s all the excitement?ELECTION INTERFERENCE via BOGUS indictment!They clearly want to sow discord and create incitement,but Trump is strong, and they won’t even create a slight dent!I’m noticing that more and more people can see through this!It’s time to take our country back – we already knew this!But there are still some folks who remain totally clueless.Let’s get them all on board so WE can go out and do this!We are strong-we will not fall, & WWG1WGA924107",110131072124458720
1,3d,YalePhD,"Yale PhD | #IStandWithTrump@YalePhD·3dReplying to @ToddConverse, @ArmandoElliott, and 3 moreGIF61668",110131074642345816
2,3d,YalePhD,"Yale PhD | #IStandWithTrump@YalePhD·3dReplying to @ToddConverse, @ArmandoElliott, and 4 moreI am your WARRIOR and I am your RETRIBUTION!I am your JUSTICE and your VOICE, and I provide solutions!I’ll totally OBLITERATE the deep state and collusion,I love our great Country and I uphold the Constitution!Patriots ascend even when they’re under attack,now it’s time to finish up our work andTAKE OUR COUNTRY BACK!         41065",110131079918616046
3,3d,OksanaTrump," OKᔕᗩᑎᗩ Tᖇᑌᗰᑭ Verified Account@OksanaTrump·3dReplying to @YalePhD, @ArmandoElliott, and 4 more21575",110131084193563917
4,3d,OksanaTrump," OKᔕᗩᑎᗩ Tᖇᑌᗰᑭ Verified Account@OksanaTrump·3dReplying to @YalePhD, @ArmandoElliott, and 5 more1154143",110131085106244395
5,3d,Canmaninusa,"Canmaninusa@Canmaninusa·3dReplying to @OksanaTrump, @denmarkTom, and 3 moreBill and Killary are REAL Popular in Haiti!!!  They've stolen millions from Haiti!!!43255",110131163392477605
6,3d,Drummer4Americans,"Della Street@Drummer4Americans·3dReplying to @Canmaninusa, @OksanaTrump, and 1 moreThey grabbed parentless children and took them to St James Island. Big money!1315",110132335225197739
7,3d,bellamia1963,"bellaregina@bellamia1963·3dReplying to @Drummer4AmericansSickest! They, Biden, Hunter, Obama and his administration should all be the ones being indicted!!1219",110133523739852984
8,3d,Drummer4Americans,Della Street@Drummer4Americans·3dReplying to @bellamia1963 and @Drummer4AmericansYep they will6,110133891700579707
9,3d,Lindlerof5,Lindlerof5@Lindlerof5·3dReplying to @CanmaninusaThat's their profession stealing commiting suicides on other people. They've gotten rich off of other people. clinton's and binden's are two of the most corrupt people in the world.2622,110132821778925851
10,3d,CarrieJoy,CarrieJoy@CarrieJoy·3dReplying to @Lindlerof5 and @CanmaninusaIs this related to Arkansas tornadoes?1,110134998568363459
11,2d,truckinggrany,JeanEsolfest@truckinggrany·2dReplying to @Lindlerof5 and @CanmaninusaI agree2,110137579435152128
12,3d,janthomson,"jan Thomson@janthomson·3dReplying to @Canmaninusa, @OksanaTrump, and 1 moreWow!",110132861378341258
13,3d,Oldschool052,"Oldschool052@Oldschool052·3dReplying to @OksanaTrump, @denmarkTom, and 3 moreIt’s amazing what democrats can get away with. They are called hypocrites and this is why our country is falling apart.3134",110131178968201129
14,3d,virglucky,"virglucky@virglucky·3dReplying to @Oldschool052, @denmarkTom, and 4 moreExactly      Hypocrites15",110131297122690864
15,3d,heroespatriot1776,"heroespatriot1776@heroespatriot1776·3dReplying to @Oldschool052, @OksanaTrump, and 1 more#LOCKHIMUP #TRUMPINDICTMENT #TRUMPLOST #TRUMPISGOINGTOJAIL #TRUMPMUGSHOT #TRUMP #TRUMP2024191",110132323967398786
16,3d,rungirlsl,"rungirlsl@rungirlsl·3dReplying to @heroespatriot1776, @OksanaTrump, and 2 moreYou’ve been duped - brown shirt.117",110132342641396219
17,3d,Samuraiwarrior,"Samuraiwarrior@Samuraiwarrior·3dReplying to @rungirlsl, @heroespatriot1776, and 3 more3",110132757678101073
18,3d,ChrisSlade,"Priest@ChrisSlade·3dReplying to @murphylinda, @heroespatriot1776, and 5 moreOnce again the Soros media matters dumbasses are the only aggressors on here besides Trump supporters.   #Trump2024  #Trump2024  #Trump2024  #Trump2024  #Trump2024  #Trump2024  #Trump2024  #Trump2024  #Trump2024  #Trump2024  #Trump2024  #Trump2024  #Trump2024 124",110134979710554565
19,3d,ChrisSlade,"Priest@ChrisSlade·3dReplying to @murphylinda, @heroespatriot1776, and 6 moreJoe Biden Moves to Cut Medicare Advantage https://www.breitbart.com/politics/2023/04/02/joe-biden-moves-cut-medicare-advantage/  #Trump2024  #Trump2024  #Trump2024  #Trump2024  #Trump2024  #Trump2024  #Trump2024  #Trump2024  #Trump2024  #Trump2024  #Trump2024  #Trump2024  #Trump2024  @realDonaldTrump36",110135033789664288
20,3d,charlieAllnutt,"Charlie Allnutt@charlieAllnutt·3dReplying to @Samuraiwarrior, @heroespatriot1776, and 4 more149",110135453084803979
21,3d,heroespatriot1776,"heroespatriot1776@heroespatriot1776·3dReplying to @charlieAllnutt, @OksanaTrump, and 4 more211",110135641866183075
22,2d,Hockystick,"hockey stick@Hockystick·2dReplying to @heroespatriot1776, @charlieAllnutt, and 5 moreAnd Joey said he would not interfere with investigations of son. Another lie during race for president",110138475764184814
23,2d,Ant_Vomit,"Biden’s hairy leg.@Ant_Vomit·2dReplying to @heroespatriot1776, @charlieAllnutt, and 5 moreLeaking that information is Felony. That’s one more felony than Donald Trump.23",110140215801964265
24,3d,jstella23,"JS23@jstella23·3dReplying to @heroespatriot1776, @OksanaTrump, and 2 moreLmao. U just proved how big of a uneducated dumb fuck u r. 6",110132381227702008
25,3d,k9chess2,"piper@k9chess2·3dReplying to @heroespatriot1776, @OksanaTrump, and 2 moreWow! If you want open borders, higher taxes, inflation, no energy independence, fake climate change and vote for a man that can’t complete a sentence, campaigns from a basement, can’t gather 10 ppl in a gym, has never had a job, zero accomplishments, lied his whole life and had top secrete documents since 1974 you’re probably uneducated. Your meme is filled with insults and zero facts. Typical lib…1111",110132454472823877
26,3d,eja1956,"Ej’s@eja1956·3dReplying to @k9chess2, @heroespatriot1776, and 3 moreAnother typical libtard, Democratic loser!6",110132462190915981
27,3d,Blueeyes5270,Carol@Blueeyes5270·3dReplying to @heroespatriot1776Never!!!,110132460971415838
28,3d,vincente57,"vincente@vincente57·3dReplying to @heroespatriot1776, @OksanaTrump, and 2 moreAccuse your opponent of what your guilty of. Your post just described the Democratic Party. TDS, is like arguing   your 3 year old to take a nap. Help is available.5",110132845982951784
29,3d,janthomson,"jan Thomson@janthomson·3dReplying to @heroespatriot1776, @OksanaTrump, and 2 moreYour a complete IDIOT!1",110132865945550422
30,3d,b52bomm,"Bommar@b52bomm·3dReplying to @heroespatriot1776, @OksanaTrump, and 2 moreYou described the entire Democrat party dumbass4",110132925298829366
31,3d,FrancesR,"FrancesR@FrancesR·3dReplying to @heroespatriot1776You are probably an illegal promised everything for free for your vote, or a refugee that got everything for free. Nothing in this country has been free for our citizens and has come at great cost to us all. Only an entitled group would dare to be and speak so shamelessly.You are truly an idiot- Retruth1",110133870695497544
32,3d,OH58pilot,"OH58pilot@OH58pilot·3dReplying to @heroespatriot1776, @OksanaTrump, and 2 moreProject much?",110134633913454592
33,3d,murphylinda,"Murphy’s trump@murphylinda·3dReplying to @heroespatriot1776, @OksanaTrump, and 2 moreNo that would be dirty stupid crooked democrats",110134964683718321
34,3d,cowboy504,"Cowboy Dave@cowboy504·3dReplying to @heroespatriot1776, @OksanaTrump, and 2 moreProbably not.",110135377540805809
35,3d,morallybankrupt,prophet@morallybankrupt·3dReplying to @heroespatriot1776,110135587974074727
36,2d,Nicki1952,"Trmpygal@Nicki1952·2dReplying to @heroespatriot1776, @OksanaTrump, and 2 moreNo he’s not. He’s not the criminal. You are making yourself stupid by watching CNN.",110136986898446368
37,2d,Nicki1952,"Trmpygal@Nicki1952·2dReplying to @heroespatriot1776, @OksanaTrump, and 2 moreYou just described the Democrats perfectly. I guess you would know.",110136990173808034
38,2d,Jerrex1965,"Jerrex1965@Jerrex1965·2dReplying to @heroespatriot1776, @OksanaTrump, and 2 moreDAMN THAT SOUNDS JUST LIKE THAT PEDO JOE BIDEN. AND THE REST OF THEM DEMS. HEO EVER SAID THAT WAS A REPUBLICANS  .HE MIGHT NEED TOO TAKE HIS HEAD OUT HIS ASS AND SEE THE LIGHT.  O MY MISTAKE  OUT OF JOE BIDEN ASS. SOUNDS BETTER.",110137025459388248
39,2d,Hockystick,"hockey stick@Hockystick·2dReplying to @heroespatriot1776, @OksanaTrump, and 2 moreProud to support Trump. If you support this administration and the damage they inflicted and continue to. You are no “heroes patriot”. You ARE the traitor.",110138461813823978
40,2d,Ant_Vomit,"Biden’s hairy leg.@Ant_Vomit·2dReplying to @heroespatriot1776, @OksanaTrump, and 2 moreYou misspelled Democrat.1",110140191214214046
41,3d,jmriddle1,"jmriddle1@jmriddle1·3dReplying to @Oldschool052, @OksanaTrump, and 1 moreThey are just down right evil people. The word “hypocrite” is just the tip of the iceberg for what these people truly are.6",110132360437627089
42,3d,linreads,linreads@linreads·3dReplying to @OksanaTrump and @YalePhDPriceless1,110132021452296361
43,3d,heroespatriot1776,heroespatriot1776@heroespatriot1776·3dReplying to @OksanaTrump and @YalePhD#LOCKHIMUP #TRUMPINDICTMENT #TRUMPLOST #TRUMPISGOINGTOJAIL #TRUMPMUGSHOT #TRUMP #TRUMP202462,110132321571807704
44,3d,rungirlsl,"rungirlsl@rungirlsl·3dReplying to @heroespatriot1776, @OksanaTrump, and 1 moreNazi.1",110132345954686604
45,3d,Albertabuck,Albertabuck@Albertabuck·3dReplying to @rungirlslThis meme will need to be photoshopped soon. Those hands will be coming down.1,110132682687692005
46,3d,k9chess2,"piper@k9chess2·3dReplying to @heroespatriot1776, @OksanaTrump, and 1 moreLol. Those are the real criminals that get a pass. Deleting emails after a congressional subpoena is illegal. Selling this country out for foreign funding is treason illegal. The left gets a pass. Trump didn’t pay hush money to anyone he gave a retainer to his attorney out of his own personal account and even if he did that isn’t illegal. The facts have already been proven. Trump isn’t going to jail idiot. Maybe you need to learn why the left wants him gone. Putting American first doesn’t pay! 15",110132502463912413
47,3d,patentplays,"DeSantis 1 Mickey 0@patentplays·3dReplying to @k9chess2, @heroespatriot1776, and 2 moreHush money gets paid in 100% of Divorce Settlements by 100% of Divorced Men in the United States. Arguably the difference between a “Ho”and an Ex-Wife is the Ho is 10x cheaper and 100% more honest. The Ho also doesn’t commit perjury on the stand.",110134263022375801
48,3d,markdjohnsonmn,"Mark Johnson@markdjohnsonmn·3dReplying to @heroespatriot1776, @OksanaTrump, and 1 moreTroll",110132551988751614
49,3d,janthomson,"jan Thomson@janthomson·3dReplying to @heroespatriot1776, @OksanaTrump, and 1 moreThey are the ones who should be.My god how are you so stupid!",110132878437594024
50,3d,b52bomm,"Bommar@b52bomm·3dReplying to @heroespatriot1776, @OksanaTrump, and 1 moreThey will be thanks to fat Alvin ",110132931067698412
51,3d,ker2smile,"Kerry@ker2smile·3dReplying to @heroespatriot1776, @OksanaTrump, and 1 moreThe 3 raising their hand will be in prison soon.",110133525221947252
52,3d,rnelson1,"rnelson1@rnelson1·3dReplying to @OksanaTrump and @YalePhDYou as a liberal this and all they say is ""That's different""!!! Such bullshit!!",110132373499480976
53,3d,jsshaw,Shaw Jerry@jsshaw·3dReplying to @OksanaTrump and @YalePhDShhhhhhhhh,110132691132558652
54,3d,ChrisMixon,"Christopher ‘Fer’ Mixon@ChrisMixon·3dReplying to @OksanaTrump and @YalePhDThe biggest husher of them all, except maybe his wife! ",110132801413253859
55,3d,critcalthinker,"bad red@critcalthinker·3dReplying to @OksanaTrump and @YalePhD repost, repost, repost repost!",110135033833609800
56,3d,psuewatts,Patriot56@psuewatts·3dReplying to @OksanaTrump and @YalePhDIt’s time to hold Bill Clinton and Hillary Clinton accountable for the crimes they have been committing against America.,110136362387067123
57,3d,Clegg2005,All for one & one for all! @Clegg2005·3dReplying to @OksanaTrump and @YalePhDThe Clinton’s are soooo corrupt! They should be in prison!,110136431330500273
58,2d,Jerrex1965,Jerrex1965@Jerrex1965·2dReplying to @YalePhDHe'll yeah.  We the people stand with the best president in history.  DONALD J TRUMP.,110136985329124244
59,2d,Jerrex1965,Jerrex1965@Jerrex1965·2dReplying to @YalePhD,110137001715826632
60,2d,truckinggrany,JeanEsolfest@truckinggrany·2dReplying to @YalePhDYes I agree,110137573876835107
61,3d,truthmatters4404,"Joseph@truthmatters4404·3dReplying to @garrytQmQs_2424, @ArmandoElliott, and 1 more BOT ALERT  BOT ALERT  BOT ALERT  BOT ALERT  BOT ALERT  BOT ALERT  BOT ALERT  BOT ALERT  BOT ALERT  BOT ALERT  BOT ALERT  BOT ALERT  BOT ALERT  BOT ALERT  BOT ALERT  BOT ALERT  BOT ALERT  BOT ALERT  BOT ALERT  BOT ALERT  BOT ALERT  BOT ALERT  BOT ALERT  BOT ALERT  BOT ALERT  BOT ALERT  BOT ALERT  BOT ALERT  BOT ALERT  BOT ALERT  BOT ALERT  BOT ALERT  BOT ALERT  BOT ALERT  BOT ALERT  BOT ALERT  BOT ALERT  BOT ALERT  BOT ALERT  BOT ALERT ",110131088009253869
62,3d,truthmatters4404,"Joseph@truthmatters4404·3dReplying to @JacquelineBoyd, @ArmandoElliott, and 2 more BOT ALERT  BOT ALERT  BOT ALERT  BOT ALERT  BOT ALERT  BOT ALERT  BOT ALERT  BOT ALERT  BOT ALERT  BOT ALERT  BOT ALERT  BOT ALERT  BOT ALERT  BOT ALERT  BOT ALERT  BOT ALERT  BOT ALERT  BOT ALERT  BOT ALERT  BOT ALERT  BOT ALERT  BOT ALERT  BOT ALERT  BOT ALERT  BOT ALERT  BOT ALERT  BOT ALERT  BOT ALERT  BOT ALERT  BOT ALERT  BOT ALERT  BOT ALERT  BOT ALERT  BOT ALERT  BOT ALERT  BOT ALERT  BOT ALERT  BOT ALERT  BOT ALERT  BOT ALERT ",110131088524222948
63,3d,truthmatters4404,Joseph@truthmatters4404·3dReplying to @ArmandoElliott BOT ALERT  BOT ALERT  BOT ALERT  BOT ALERT  BOT ALERT  BOT ALERT  BOT ALERT  BOT ALERT  BOT ALERT  BOT ALERT  BOT ALERT  BOT ALERT  BOT ALERT  BOT ALERT  BOT ALERT  BOT ALERT  BOT ALERT  BOT ALERT  BOT ALERT  BOT ALERT  BOT ALERT  BOT ALERT  BOT ALERT  BOT ALERT  BOT ALERT  BOT ALERT  BOT ALERT  BOT ALERT  BOT ALERT  BOT ALERT  BOT ALERT  BOT ALERT  BOT ALERT  BOT ALERT  BOT ALERT  BOT ALERT  BOT ALERT  BOT ALERT  BOT ALERT  BOT ALERT 1,110131086685451886
64,3d,truthmatters4404,Joseph@truthmatters4404·3dReplying to @denmarkTom and @ArmandoElliott BOT ALERT  BOT ALERT  BOT ALERT  BOT ALERT  BOT ALERT  BOT ALERT  BOT ALERT  BOT ALERT  BOT ALERT  BOT ALERT  BOT ALERT  BOT ALERT  BOT ALERT  BOT ALERT  BOT ALERT  BOT ALERT  BOT ALERT  BOT ALERT  BOT ALERT  BOT ALERT  BOT ALERT  BOT ALERT  BOT ALERT  BOT ALERT  BOT ALERT  BOT ALERT  BOT ALERT  BOT ALERT  BOT ALERT  BOT ALERT  BOT ALERT  BOT ALERT  BOT ALERT  BOT ALERT  BOT ALERT  BOT ALERT  BOT ALERT  BOT ALERT  BOT ALERT  BOT ALERT 2,110131087459732756
65,3d,DetroitDad,"Matt@DetroitDad·3dReplying to @truthmatters4404, @ArmandoElliott, and 1 moreWho?1",110131105828256667
66,3d,American_Woman,️Debbie62️@American_Woman·3dReplying to @DetroitDad and @truthmatters4404He is mocking patriots. I blocked the BOT troll.3,110132317088788097
67,3d,b52bomm,"Bommar@b52bomm·3dReplying to @truthmatters4404The mute button works wonders to, on people like you Troll.",110132949698560284
