,date,author,text,id
0,Mar 29,GodandCountryy,"God & Country@GodandCountryy·Mar 29Replying to @PorkrajrekataVardar, @donovan231, and 2 more91463",110108270953254560
1,Mar 29,GodandCountryy,"God & Country@GodandCountryy·Mar 29Replying to @PorkrajrekataVardar, @donovan231, and 3 more21568",110108271780679371
2,Mar 29,GodandCountryy,"God & Country@GodandCountryy·Mar 29Replying to @PorkrajrekataVardar, @donovan231, and 3 more31341",110108272613976279
3,Mar 29,Lara45,"𝐿𝒶𝓇𝒶 | #IStandWithTrump@Lara45·Mar 29Replying to @God_Bless_Trump, @DeplorableCaseyDee, and 4 more2843",110108437078004919
4,Mar 29,smitty0821,"𝕄υ𝕥ᕼⓐ Ⓕ𝓾𝐂ｋί几 Ť𝐎xⓘ𝓒 爪σᑎ𝐤€𝐲@smitty0821·Mar 29Replying to @Lara45, @DeplorableCaseyDee, and 4 moreGIF16",110108453987437936
5,Mar 29,Josiwales,PaulyD@Josiwales·Mar 29Replying to @smitty0821God bless America 29,110108456665839107
6,Mar 29,smitty0821,𝕄υ𝕥ᕼⓐ Ⓕ𝓾𝐂ｋί几 Ť𝐎xⓘ𝓒 爪σᑎ𝐤€𝐲@smitty0821·Mar 29Replying to @Josiwales and @smitty082111,110108458732729743
7,Mar 29,AltererofSeams,𝕸𝖚𝖙𝖍𝖆𝕱𝖚𝖈𝖐𝖎𝖓𝕾𝖆𝖑𝖙𝖞𝕾𝖍𝖆𝖗𝖐@AltererofSeams·Mar 29Replying to @smitty0821 and @Josiwales114,110108479733841765
8,Mar 29,Josiwales,PaulyD@Josiwales·Mar 29Replying to @AltererofSeams1214,110108549581814406
9,Mar 30,ChillKitty1,ULTRA Chill Kitty @ChillKitty1·Mar 30Replying to @Josiwales11,110114898068813978
10,Mar 30,Josiwales,PaulyD@Josiwales·Mar 30Replying to @ChillKitty113,110114902637285163
11,Mar 30,ChillKitty1,ULTRA Chill Kitty @ChillKitty1·Mar 30Replying to @JosiwalesRight!1,110114946153696826
12,Mar 30,Josiwales,PaulyD@Josiwales·Mar 30Replying to @ChillKitty115,110114957835071187
13,Mar 30,Lograt,"Sheepdog Rob @Lograt·Mar 30Replying to @Josiwales and @ChillKitty1…..ok, stop the madness!14",110114903708257379
14,Mar 30,Josiwales,PaulyD@Josiwales·Mar 30Replying to @Lograt12,110114921993897767
15,Mar 30,ChillKitty1,ULTRA Chill Kitty @ChillKitty1·Mar 30Replying to @Josiwales and @LogratThank You! It's like someone demanding you acknowledge their imaginary unicorn! And demanding you call him by his name. Insanity.11,110114982348054084
16,Mar 30,Josiwales,PaulyD@Josiwales·Mar 30Replying to @ChillKitty1111,110114985255227139
17,Mar 29,Josiwales,PaulyD@Josiwales·Mar 29Replying to @Emmakildare12,110110150677480141
18,Mar 29,popesdeploablepygmies, Sgt Ƒʉͫcͧкͭιͪηͣ Stadanko@popesdeploablepygmies·Mar 29Replying to @Josiwales and @EmmakildareWhere?,110110151691230500
19,Mar 30,Stephens111,Stephens111@Stephens111·Mar 30Replying to @playnicemommaSWhy are you making this about race. George Floyd did not choose to have chauvin step on his neck where Babbit choose to listen to that lying fucking trump and invade the Capitol1,110112059643972954
20,Mar 30,Pixiedog24,"Pixiedog24@Pixiedog24·Mar 30Replying to @Stephens111 and @playnicemommaSOh look, the leftist is triggered, 2",110112681392762709
21,Mar 30,Stephens111,"Stephens111@Stephens111·Mar 30Replying to @Pixiedog24Not triggered just stating facts, something you people have yet to comprehend.2",110112783009793950
